122,10,8/3/2016,8/21/2016
127,10,6/14/2018,7/11/2017
130,10,7/20/2016,7/15/2013
157,10,6/21/2016,11/20/2019
210,10,4/11/2015,11/20/2018
216,10,3/8/2013,1/4/2019
238,10,11/26/2013,10/31/2013
239,10,6/17/2017,11/2/2011
242,10,8/1/2015,4/15/2019
259,10,5/7/2012,NULL
282,11,1/5/2021,9/16/2013
139,11,9/5/2014,7/1/2015
146,11,4/14/2018,5/1/2020
164,11,7/7/2017,4/25/2015
173,11,11/18/2014,3/17/2011
210,11,3/6/2011,4/20/2018
219,11,4/23/2018,4/9/2011
228,11,5/10/2017,NULL
245,11,3/15/2012,2/25/2011
267,11,10/15/2019,4/28/2011
295,11,5/5/2012,7/25/2021
118,12,8/6/2012,5/9/2019
120,12,3/17/2015,8/15/2017
122,12,1/20/2012,5/23/2011
146,12,3/4/2014,9/15/2015
177,12,7/30/2016,NULL
203,12,4/6/2016,1/26/2013
251,12,5/7/2017,NULL
263,12,7/3/2017,7/3/2012
269,12,9/4/2018,4/20/2013
232,13,2/24/2011,9/30/2017
123,13,9/18/2018,9/30/2014
125,13,9/14/2017,10/27/2012
128,13,1/1/2013,6/15/2020
136,13,5/11/2014,9/17/2015
144,13,11/15/2011,9/2/2021
166,13,6/29/2015,10/15/2018
177,13,10/27/2015,12/22/2013
215,13,1/26/2012,5/4/2019
237,13,8/6/2019,12/19/2012
248,13,12/28/2017,NULL
285,13,9/5/2016,12/14/2011
288,13,2/1/2012,1/30/2012
293,13,3/5/2020,NULL
188,14,4/14/2021,12/11/2020
101,14,10/7/2020,2/5/2011
128,14,2/12/2021,10/16/2012
132,14,10/16/2016,11/5/2017
150,14,2/27/2018,2/23/2018
158,14,12/8/2011,2/10/2014
160,14,7/29/2015,10/14/2018
169,14,5/31/2019,4/17/2019
173,14,9/25/2013,8/23/2018
192,14,8/1/2021,11/26/2011
208,14,8/6/2012,NULL
218,14,6/27/2014,8/17/2012
240,14,11/20/2014,5/27/2014
251,14,6/17/2015,7/7/2012
252,14,3/15/2021,NULL
105,15,8/23/2017,11/22/2014
109,15,4/1/2011,7/4/2015
147,15,9/24/2015,6/16/2014
154,15,11/21/2013,9/20/2014
172,15,3/19/2011,10/18/2019
194,15,8/14/2012,4/26/2015
197,15,9/2/2013,9/14/2012
200,15,6/28/2013,3/27/2017
220,15,8/1/2013,12/8/2020
242,15,5/20/2014,9/5/2016
265,15,8/1/2019,2/27/2015
266,15,12/19/2013,11/23/2014
298,16,7/18/2020,1/19/2015
155,16,6/7/2021,5/8/2013
184,16,6/30/2012,5/14/2013
190,16,1/2/2014,4/13/2016
243,16,5/11/2021,2/7/2014
277,16,7/16/2019,5/12/2012
106,17,11/26/2014,9/2/2014
113,17,2/25/2019,11/19/2014
141,17,12/26/2012,7/31/2020
148,17,11/11/2017,1/10/2019
168,17,6/2/2016,6/21/2016
170,17,9/16/2019,9/5/2019
173,17,8/1/2013,4/9/2019
185,17,6/6/2011,12/26/2017
224,17,9/25/2016,10/14/2020
236,17,10/14/2020,8/26/2019
244,17,11/19/2011,11/26/2019
260,17,10/22/2017,9/21/2017
269,17,7/10/2021,7/26/2017
287,17,2/26/2019,4/28/2012
117,18,5/1/2021,4/8/2012
122,18,7/28/2012,11/14/2018
124,18,3/15/2017,12/20/2017
143,18,8/31/2019,2/25/2021
154,18,7/10/2020,3/12/2012
155,18,5/3/2016,5/30/2012
184,18,2/4/2015,7/23/2020
186,18,7/23/2020,NULL
217,18,4/30/2014,12/16/2012
222,18,4/29/2019,12/27/2020
251,18,10/27/2012,11/9/2018
271,18,6/8/2018,7/21/2021
275,18,12/13/2013,7/27/2013
112,19,2/10/2011,6/28/2019
124,19,1/9/2018,10/24/2018
140,19,3/6/2016,NULL
143,19,12/16/2020,1/4/2017
154,19,12/29/2020,9/30/2020
178,19,10/4/2011,10/9/2013
249,19,5/19/2019,2/15/2011
275,19,12/8/2013,2/13/2017
278,19,7/21/2015,9/3/2013
114,20,10/28/2014,5/28/2018
119,20,6/22/2015,12/25/2013
127,20,7/7/2012,12/20/2015
132,20,10/18/2011,NULL
137,20,7/15/2012,5/9/2014
160,20,2/12/2013,10/17/2012
162,20,9/13/2017,5/15/2015
185,20,8/10/2013,NULL
222,20,3/6/2020,NULL
237,20,7/7/2012,12/23/2017
256,20,1/8/2013,4/1/2016
262,20,6/14/2015,NULL
265,20,4/16/2014,2/9/2013
285,20,4/12/2012,3/10/2020
293,20,2/16/2012,9/14/2015
121,21,2/1/2015,NULL
125,21,5/22/2014,6/22/2021
161,21,11/24/2011,10/18/2014
173,21,12/20/2012,3/13/2013
176,21,2/26/2012,11/5/2018
190,21,2/19/2015,7/13/2011
212,21,10/31/2011,NULL
230,21,6/25/2013,3/29/2012
233,21,5/30/2020,5/18/2014
246,21,4/27/2014,8/8/2020
248,21,1/22/2021,7/21/2016
249,21,11/30/2016,NULL
251,21,1/31/2021,7/1/2012
259,21,2/24/2017,3/26/2016
263,21,2/13/2017,6/21/2012
144,22,4/23/2021,NULL
180,22,6/13/2014,7/5/2011
190,22,10/8/2011,9/1/2011
193,22,11/14/2012,10/20/2020
200,22,2/19/2014,8/14/2020
222,22,10/26/2017,8/18/2016
224,22,6/12/2012,12/28/2014
231,22,9/20/2019,1/2/2014
244,22,7/18/2014,NULL
252,22,12/19/2014,8/13/2014
285,22,5/29/2019,9/9/2019
288,22,2/7/2011,1/31/2021
299,22,2/23/2020,12/8/2016
104,23,8/29/2016,NULL
105,23,8/5/2012,1/17/2018
174,23,1/16/2013,12/29/2011
176,23,4/11/2016,4/13/2016
185,23,3/17/2011,1/3/2017
199,23,5/25/2014,8/12/2014
202,23,7/29/2016,10/11/2016
222,23,11/29/2012,1/10/2011
242,23,5/12/2011,12/21/2013
263,23,10/5/2018,10/7/2015
275,23,12/7/2012,12/13/2020
285,23,5/5/2017,2/8/2019
141,24,12/7/2011,NULL
164,24,11/10/2011,8/13/2015
167,24,2/16/2017,4/19/2021
104,25,9/19/2014,12/9/2016
110,25,8/16/2020,9/22/2018
128,25,3/30/2018,6/10/2014
129,25,7/30/2012,9/22/2013
170,25,10/18/2011,11/25/2017
197,25,9/13/2014,10/26/2012
203,25,10/6/2014,5/27/2015
205,25,10/4/2013,NULL
212,25,7/24/2011,9/16/2013
216,25,12/20/2016,9/29/2011
221,25,8/26/2020,11/26/2019
227,25,12/17/2019,2/20/2015
229,25,2/15/2021,5/11/2014
243,25,6/2/2016,3/29/2019
269,25,4/9/2015,2/9/2014
